fast,slow,slow_months,portfolio_sharpe,median_single_market_sharpe,markets
4,12,0.4,0.10877755197358728,0.0239217428770839,268
8,24,0.8,0.24781227738415845,0.13109236286680712,268
16,48,1.6,0.3195571669939002,0.19619799506409152,268
32,96,3.2,0.15310239947128565,0.09555017996972572,255
64,192,6.3,-0.11454122526781747,-0.0875754976992961,217
128,384,12.6,-0.40241264074141636,-0.25473267306401515,178
256,768,25.3,-0.4659606889769226,-0.29684705683969437,126
