symbol,days,sharpe_net,sharpe_gross
MTLUSDT,1819,-0.3738219716039078,-0.20412052276010134
COMBOUSDT,1026,-0.40674268470955094,-0.32693933391665486
JTOUSDT,837,-0.4109860751315466,-0.2960825035502498
CAKEUSDT,873,-0.4233293931127535,-0.38251057482858314
AMBUSDT,1090,-0.4378717088955761,-0.38536752877395186
1000RATSUSDT,830,-0.4385626056957778,-0.5220584734686085
STPTUSDT,866,-0.4482576825617206,-0.35525629925946967
LDOUSDT,1279,-0.4569273596927573,-0.4178739637858868
LSKUSDT,789,-0.4634501688233406,-0.15939074397363737
SNTUSDT,873,-0.46490238363165814,-0.3623019956551748
GTCUSDT,1748,-0.48107247429215133,-0.46061508789920824
UNFIUSDT,1859,-0.49077412278399307,-0.5209282785330333
BANDUSDT,2064,-0.4998976033871632,-0.41762129428867695
LITUSDT,1860,-0.5029634466478552,-0.4409655229999025
BELUSDT,1952,-0.5194204752327664,-0.46110228667652164
CTKUSDT,1951,-0.5205100593714569,-0.42737643585299784
NKNUSDT,1810,-0.5260865219039507,-0.4287295848549698
1000BONKUSDT,853,-0.5553782822062826,-0.49503981787413576
STMXUSDT,1828,-0.5848145808148552,-0.5160337709118762
RVNUSDT,1855,-0.5855007625755806,-0.5415354114074348
HFTUSDT,1067,-0.5889650192630257,-0.542850496358116
KNCUSDT,2070,-0.6166012434615127,-0.5474613435611604
HIFIUSDT,920,-0.6222274372384656,-0.5998874426708821
BNTUSDT,957,-0.6362529714329291,-0.5262700315021523
API3USDT,1492,-0.6436007121058749,-0.5038783558589653
EDUUSDT,1059,-0.6903272693662434,-0.6133250659353242
AUCTIONUSDT,830,-0.6957250658947796,-0.6838371356546217
GMXUSDT,1131,-0.7273023293805081,-0.6919817429953795
ORDIUSDT,868,-0.8513468969949362,-0.8542579342257761
TWTUSDT,872,-0.8819613986631767,-0.7862928582956158
MAVIAUSDT,762,-0.8910006922249218,-0.9197693569456109
SFPUSDT,1854,-1.0533706273531862,-0.993277352619097
JUPUSDT,783,-1.076965965426035,-0.9912280006948968
GLMUSDT,761,-1.161078858187145,-0.771800060672271
