group,label,sharpe_net,sharpe_vs_baseline,sharpe_diff_ci_lo,sharpe_diff_ci_hi,ann_turnover,cost_drag_ann,funding_drag_ann
ablation,no_sector_weights,0.952990650738516,-0.08757594228129362,-0.8164273881296774,0.6347731526624141,10.504288273462924,0.0105042882734629,0.017753614931188
ablation,no_risk_targeting,0.8182362358521479,-0.2223303571676617,-0.5062143169403808,0.04795948465943568,20.206557254027853,0.0202065572540278,0.013190029078869
ablation,no_buffer,1.0153176694430233,-0.02524892357678632,-0.10836352662521524,0.059218789176118614,20.192869044329825,0.0201928690443298,0.0006758693703365
ablation,equal_notional,0.9227152497374947,-0.11785134328231484,-0.20905464527580309,-0.03641892543340435,16.811362938456988,0.0168113629384569,-0.0005495286121125
ablation,no_costs,1.154296987430349,0.11373039441053945,0.01857597041955347,0.2048745025852858,17.41018376488144,0.0,0.0
ablation,no_funding,1.0747125563330029,0.034145963313193306,-0.06351235909951297,0.12887019377262005,17.25807242374695,0.0172580724237469,0.0
response,response_tanh,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
response,response_overextension,0.8692055825988299,-0.17136101042097973,-0.4398186403754501,0.06472361405630735,17.785360944930723,0.0177853609449307,-0.0007057512094046
response,response_linear,1.0297997478452714,-0.010766845174538187,-0.05955512441707016,0.03847544661381064,17.354001273499183,0.0173540012734991,-0.0003273258891124
response,response_binary,1.1523388833505797,0.11177229033077007,-0.09776366213347709,0.31581277822913817,20.14935190769851,0.0201493519076985,0.0003333291566083
vol_forecast,vol_blend,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
vol_forecast,vol_short,1.101454122896447,0.06088752987663737,-0.05740858079750455,0.1775495206480449,19.463386572491785,0.0194633865724917,0.0012834956979392
vol_forecast,vol_long,0.8780416325479279,-0.1625249604718817,-0.35572816651728867,0.04710447492066826,15.314812955328533,0.0153148129553285,-0.0074618645757804
vol_forecast,vol_ewma,1.0650994930956292,0.024532900075819652,-0.07790203056307429,0.1248200241541427,18.09288146096731,0.0180928814609673,0.0044262605075217
buffer,buffer_0,1.0153176694430233,-0.02524892357678632,-0.10836352662521524,0.059218789176118614,20.192869044329825,0.0201928690443298,0.0006758693703365
buffer,buffer_0.05,1.0304100084613204,-0.010156584558489223,-0.06278147562329538,0.042705156000586386,18.01164525692544,0.0180116452569254,0.0004303067411672
buffer,buffer_0.1,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
buffer,buffer_0.2,1.0752850797767208,0.03471848675691125,-0.04837467912599648,0.11830486936113442,16.12112634376233,0.0161211263437623,-0.0013335500007529
buffer,buffer_0.4,1.1020357327796508,0.06146913975984125,-0.03768467513863123,0.1587607812779809,15.047247334392768,0.0150472473343927,-0.001180152907097
cost,cost_0bps,1.1203983325629356,0.07983173954312606,0.06875355941197649,0.09189764246762877,17.286979245999962,0.0,-0.0010937058009796
cost,cost_2bps,1.1044344972159603,0.06386790419615074,0.05501226283245738,0.07352116757722761,17.256022303908072,0.0034512044607816,-0.0008500118723217
cost,cost_5bps,1.0804862759829863,0.03991968296317672,0.03439148965742547,0.04595355477287844,17.209492686169757,0.0086047463430848,-0.0004857073897685
cost,cost_10bps,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
cost,cost_20bps,0.9607120065085456,-0.07985458651126398,-0.09191145519940756,-0.06886731365465243,16.975344555598372,0.0339506891111967,0.0013124538580329
speed,speed_16_48,0.7245072563384493,-0.3160593366813603,-0.7007364786131289,0.08132390247235362,18.24431137362289,0.0182443113736228,-0.0033309391862879
speed,speed_32_96,0.6572826316477844,-0.38328396137202514,-0.7206184899789134,-0.05003109331500231,15.113336698030093,0.01511333669803,0.0028815297458633
speed,speed_64_192,0.2893392038440745,-0.7512273891757351,-1.4243456896850746,0.01387888568272105,11.596291120558044,0.011596291120558,0.0182922867358887
speed,speed_fast_ensemble,0.8713101539450082,-0.16925643907480137,-0.7039360642722934,0.4518948884709998,27.65460131387278,0.0276546013138727,-5.568110721652586e-05
speed,speed_slow_ensemble,0.7100047579530475,-0.33056183506676207,-0.7285589472150638,0.06699986067932236,14.7241591611134,0.0147241591611134,0.0162178540004296
speed,speed_wide_ensemble,0.90960294132107,-0.13096365169873958,-0.3048035446821526,0.03390130843164111,18.299562060888853,0.0182995620608888,0.0095973288640541
target,vol_target_0.1,1.0397499866982074,-0.0008166063216021868,-0.004154219714613838,0.002755506420658766,8.302491284296005,0.008302491284296,0.0019906094968858
target,vol_target_0.2,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
target,vol_target_0.4,1.0372855751804002,-0.0032810178394093725,-0.014798936208957997,0.006731933884410854,35.474810403701724,0.0354748104037017,-0.0131551643715611
clusters,clusters_2,0.6694854186956851,-0.37108117432412446,-1.0662294940847705,0.2866005292258911,10.42459332871642,0.0104245933287164,0.026642821579773
clusters,clusters_4,0.6477621375229339,-0.3928044554968757,-0.8423985932801757,0.02197667051155039,13.353481289019578,0.0133534812890195,0.0186017147507134
clusters,clusters_8,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
clusters,clusters_16,1.1964728785879115,0.15590628556810193,-0.2106922335871914,0.5222063282232482,19.25219937772766,0.0192521993777276,-0.0071730753462971
universe,volume_floor_1m,1.116990496604413,0.07642390358460349,-0.3361312158998454,0.5002356069837471,15.879044766640764,0.0158790447666407,0.0225773994352971
universe,volume_floor_5m,1.0405665930198096,0.0,0.0,0.0,17.13170532068179,0.0171317053206817,0.0001180914104902
universe,volume_floor_25m,0.502969769529328,-0.5375968234904815,-1.2205224264017238,0.047222112599699016,13.686007417029987,0.0136860074170299,-0.0038169159940598
universe,volume_floor_100m,0.576771414073687,-0.46379517894612254,-1.2361304098097974,0.28085462550577706,12.679227376256646,0.0126792273762566,-0.017531854362827
short_cap,short_cap_1pct,1.004608988257765,-0.03595760476204468,-0.4036805623639421,0.32922570363930076,11.071853575951405,0.0110718535759514,0.0094449102799574
short_cap,short_cap_2pct,1.0390091954473255,-0.001557397572484076,-0.31441656498726683,0.30644836384353513,11.995389063073898,0.0119953890630738,0.0083698091805609
short_cap,short_cap_5pct,1.0892681452483428,0.04870155222853323,-0.12760015189051865,0.2234670678119203,14.167561369386284,0.0141675613693862,0.0067037104584704
short_cap,short_cap_10pct,1.086513629707568,0.04594703668775835,-0.027739260369799196,0.1225775834645685,15.955673558373832,0.0159556735583738,0.0042639242573455
