date,n_corr,mean_corr,effective_breadth,n_clusters
2020-05-08,5,0.9268486247783667,1.0621586954188011,5
2020-05-15,7,0.933148914400475,1.0607839048203516,7
2020-05-22,10,0.9012945636868873,1.0974959334683765,8
2020-05-29,10,0.9004613494901739,1.098399921297442,8
2020-06-05,14,0.8823138083269796,1.1226873085080977,8
2020-06-12,18,0.8871553854664942,1.1192887206667055,8
2020-06-19,19,0.8928759702015214,1.112948617680088,8
2020-06-26,20,0.8877367369101415,1.1193822263008586,8
2020-07-03,20,0.8852215297361093,1.1223842723355815,8
2020-07-10,20,0.8738030847182722,1.136217825423762,8
2020-07-17,20,0.8670276254925565,1.1445887496862754,8
2020-07-24,22,0.868225692697004,1.1438828018573557,8
2020-07-31,24,0.8584839673114072,1.1568979589910262,8
2020-08-07,24,0.8540346929851995,1.162633092244394,8
2020-08-14,24,0.8465239319544444,1.1724445953987712,8
2020-08-21,24,0.839149560708395,1.1822403909770676,8
2020-08-28,24,0.8317246172253032,1.1922701432849452,8
2020-09-04,24,0.8286352632808833,1.1964936123265009,8
2020-09-11,24,0.6796963181255841,1.442913358928459,8
2020-09-18,24,0.6639761166204877,1.4749760466133195,8
2020-09-25,25,0.6474331110145988,1.5116340193458553,8
2020-10-02,24,0.6320509503999212,1.5446826628098163,8
2020-10-09,23,0.6182428221116839,1.5751976677084245,8
2020-10-16,24,0.6013510714249988,1.6182239371097573,8
2020-10-23,23,0.590673985866147,1.643464322035728,8
2020-10-30,24,0.5797068435605262,1.6744274750017265,8
2020-11-06,24,0.5675432065642845,1.7077603922034608,8
2020-11-13,24,0.5645528936150896,1.7161592019967784,8
2020-11-20,25,0.5472385198839451,1.7688189719774927,8
2020-11-27,32,0.5678264692763275,1.7201877508696843,8
2020-12-04,36,0.5738825149576782,1.7073030056806897,8
2020-12-11,37,0.5730229198446497,1.7106800671920714,8
2020-12-18,39,0.5737207359249765,1.7104221927020293,8
2020-12-25,40,0.5768888289887192,1.702224408898847,8
2021-01-01,43,0.5660476148724006,1.73569065570232,8
2021-01-08,50,0.5333768680167813,1.8426069785651715,8
2021-01-15,54,0.5312475127268932,1.8520984061308126,8
2021-01-22,57,0.5291338326689762,1.860829864474683,8
2021-01-29,61,0.5195408367434581,1.8960321521070866,8
2021-02-05,61,0.5089883395639343,1.9340948999174232,8
2021-02-12,64,0.5015652342454596,1.9632739088005497,8
2021-02-19,69,0.4784419235395014,2.0576100516490023,8
2021-02-26,70,0.4776927847282982,2.0611998414685324,8
2021-03-05,71,0.47007644569120965,2.0940647269680137,8
2021-03-12,72,0.46187344448978507,2.13061784928283,8
2021-03-19,73,0.45778495790602663,2.149555027861719,8
2021-03-26,77,0.4412217915421232,2.229760540207813,8
2021-04-02,77,0.4371252474068462,2.2500462484858845,8
2021-04-09,78,0.4353891357126666,2.2592348320149105,8
2021-04-16,78,0.4275157907397211,2.2996153586695884,8
2021-04-23,79,0.4263049953394656,2.306448826132712,8
2021-04-30,80,0.43251601802896644,2.2747457590521556,8
2021-05-07,80,0.4268066713523415,2.3042983175459963,8
2021-05-14,80,0.43480810630860317,2.263093668837809,8
2021-05-21,81,0.5272412285353382,1.8758989428092374,8
2021-05-28,84,0.5483712409395252,1.8058763345699531,8
2021-06-04,86,0.5506926402628186,1.7988292140133486,8
2021-06-11,86,0.5562927787031846,1.7810956343978994,8
2021-06-18,86,0.5588538051791498,1.7731017944023586,8
2021-06-25,92,0.5824372217115622,1.7036473200522102,8
2021-07-02,93,0.5939322311278891,1.6714063538268455,8
2021-07-09,94,0.6035124901054864,1.645466361948614,8
2021-07-16,98,0.6084188709842172,1.6328807400096754,8
2021-07-23,102,0.6135034342600371,1.6199772581616487,8
2021-07-30,105,0.6172175887731121,1.6106609375662952,8
2021-08-06,107,0.6218400775745004,1.5990424103645293,8
2021-08-13,109,0.6341645791505292,1.568576106464484,8
2021-08-20,110,0.6422884850620473,1.5490897048787013,8
2021-08-27,110,0.6414471539625866,1.5510928624947622,8
2021-09-03,110,0.6406207623187218,1.553065500071175,8
2021-09-10,112,0.6483329292671379,1.5349834694179028,8
2021-09-17,113,0.6530874358008055,1.5240244350753218,8
2021-09-24,113,0.6697269262327703,1.486657921294908,8
2021-10-01,113,0.6768594999751297,1.471195859915516,8
2021-10-08,113,0.6821285297177136,1.4599785889690158,8
2021-10-15,114,0.6880848973914684,1.4475529949903305,8
2021-10-22,116,0.6682827697265499,1.4899967554980995,8
2021-10-29,116,0.6670748354151943,1.4926601127145347,8
2021-11-05,116,0.6601970613282091,1.5080081331618702,8
2021-11-12,116,0.657599922804352,1.5138861641199062,8
2021-11-19,117,0.5910520678825164,1.681951826187105,8
2021-11-26,117,0.5578841429357885,1.7804273355306695,8
