return_basis,n_markets,draws,average_live_markets,sharpe_mean,sharpe_median,sharpe_p10,sharpe_p90
gross,1,200,0.9498956158663886,0.3857624922667421,0.40704929978852505,-0.024681803034672312,0.7731690121790236
gross,2,200,1.8997912317327772,0.4508581422477359,0.43989418669555036,0.12474620934855082,0.8157606678902544
gross,4,200,3.7970772442588725,0.5120640232532314,0.5008511668201643,0.2212485394949305,0.797113813699369
gross,8,200,7.576617954070982,0.5738332689129159,0.5672897314604791,0.3688747078612824,0.7637321980271141
gross,16,200,15.072233820459294,0.5914161695541229,0.5982535742580588,0.435983249416142,0.7368068938618377
gross,32,200,29.358663883089772,0.6016897602322296,0.6003676388733863,0.50397059860453,0.6922894428383657
gross,64,200,56.412108559498954,0.6085741949196739,0.6094192416660698,0.5521294630209661,0.6652874037606522
gross,128,200,105.17620041753655,0.6101509184193907,0.6100694054025301,0.585253783435949,0.6362633872074052
gross,256,200,144.37035490605425,0.611807280659521,0.6118272003195453,0.6100334340738457,0.6134120202552363
gross,290,200,145.09728601252613,0.6118113099063459,0.611811309906346,0.6118113099063457,0.6118113099063461
