group,label,days,start,end,total_return,cagr,ann_vol,sharpe_net,sharpe_gross,max_drawdown,design_sharpe_net,holdout_sharpe_net,design_total_return,holdout_total_return,ann_turnover,avg_gross_exposure,cost_drag_ann,funding_drag_ann,long_pnl,short_pnl,hit_rate,avg_positions,avg_live,ruined,ruin_date,avg_held_ex_ante_vol,avg_target_tracking_error
baseline,baseline,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
ablation,no_sector_weights,2395,2020-01-01,2026-07-22,1.934346485517219,0.178281684105561,0.19135346195546846,0.9529906507385159,1.1020685511596373,-0.21362976989504412,0.9729356296177958,0.9302078935788295,0.8940065102321875,0.5492800418925146,10.504288273462924,0.4046347419209991,0.010504288273462923,0.01775361493118809,147361.65712188318,82039.45482419815,0.48768267223382045,148.64843423799582,143.28434237995825,False,,0.19357876624054826,0.06403278160869631
ablation,no_risk_targeting,2395,2020-01-01,2026-07-22,2.397932029714961,0.20491819332998795,0.27335980433139057,0.8182362358521479,0.9582757867862843,-0.43088312170037457,0.3758361188507341,1.2848263150314863,0.25503592055094426,1.7074380693608462,20.206557254027853,0.5076944910511526,0.020206557254027854,0.013190029078869079,174120.08920360153,102839.50806665194,0.48851774530271397,145.0204592901879,143.28434237995825,False,,0.2380087121494041,0.05524206015892089
ablation,no_buffer,2395,2020-01-01,2026-07-22,2.4634213507495986,0.2084287880643243,0.20762256537494667,1.0153176694430233,1.1399548038980774,-0.3139669679895114,0.6418133174926378,1.527742399888122,0.5305773141092365,1.2628202566593223,20.192869044329825,0.44677448955105675,0.020192869044329827,0.0006758693703365478,190286.15403246565,81789.74170738639,0.4881002087682672,148.7670146137787,143.28434237995825,False,,0.20011195854682456,0.004306664127647431
ablation,equal_notional,2395,2020-01-01,2026-07-22,1.9073789662278244,0.1766249076990547,0.19732895863058006,0.9227152497374949,1.0282541440385717,-0.3204065568092277,0.635284139225831,1.32563201674979,0.5023198844677252,0.9352595917066719,16.811362938456988,0.41060008492866334,0.01681136293845699,-0.0005495286121125135,162928.5036941068,46771.79588144642,0.48183716075156574,142.59039665970772,143.28434237995825,False,,0.19459597387450156,0.04393982908570497
ablation,no_costs,2395,2020-01-01,2026-07-22,2.9841011143600014,0.2344992970532187,0.19975963851579023,1.154296987430349,1.154296987430349,-0.2859406342223447,0.8592600735784167,1.5656144752158767,0.7846311386417677,1.2324507446352122,17.41018376488144,0.4183075399906015,0.0,0.0,206535.1671744,91874.94426159997,0.49144050104384135,145.0204592901879,143.28434237995825,False,,0.19478791689305602,0.04786873802720554
ablation,no_funding,2395,2020-01-01,2026-07-22,2.5903782713368857,0.21507708636272738,0.19979689892287347,1.0747125563330029,1.1543297372586183,-0.302711087227698,0.7901285446335706,1.471333385147105,0.6939206511223788,1.1195669755592914,17.25807242374695,0.41845122248371425,0.017258072423746947,0.0,198786.42352417388,83385.94324044729,0.4868475991649269,145.0204592901879,143.28434237995825,False,,0.19479924563734047,0.047928337791297626
response,response_tanh,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
response,response_overextension,2395,2020-01-01,2026-07-22,1.7374352128489092,0.16587386740902277,0.19928608186131502,0.8692055825988299,0.9721055730638779,-0.30966680456006046,0.7540685618084197,1.03836987121786,0.666457180000005,0.6426675978850542,17.785360944930723,0.4034132204547284,0.017785360944930724,-0.0007057512094046937,141367.68570767142,53093.896454128975,0.48643006263048016,145.0572025052192,143.28434237995825,False,,0.19587801201966923,0.050081456542404264
response,response_linear,2395,2020-01-01,2026-07-22,2.3910465838011303,0.20454577113259975,0.2001115216200746,1.0297997478452714,1.141786256471719,-0.31246389201486335,0.6873624633926364,1.5099037208430417,0.5706534703116837,1.1590036554200616,17.354001273499183,0.4210330682254668,0.017354001273499182,-0.00032732588911244025,181240.55184302447,78933.34819534462,0.49018789144050107,145.88601252609604,143.28434237995825,False,,0.19592009947068378,0.0437283943451358
response,response_binary,2395,2020-01-01,2026-07-22,2.8173540288942065,0.22648172524153476,0.1933491941189032,1.1523388833505797,1.2920197960477,-0.2881093377650076,0.7754151378562564,1.6972688148731998,0.6654643501930742,1.2920658904837365,20.14935190769851,0.4571254839071542,0.020149351907698503,0.0003333291566083451,209792.45150009874,98675.3679828013,0.49144050104384135,148.7670146137787,143.28434237995825,False,,0.196135283419666,0.040563992014193924
vol_forecast,vol_blend,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
vol_forecast,vol_short,2395,2020-01-01,2026-07-22,3.120023070534371,0.2408269566045822,0.21726458052318692,1.101454122896447,1.2270421996815268,-0.2602731682419581,0.740390662259581,1.6090039695467033,0.6951570078960976,1.430466942792418,19.463386572491785,0.45942984712607743,0.019463386572491782,0.0012834956979392365,235318.03130291647,104950.2290551312,0.48559498956158664,144.8338204592902,143.28434237995825,False,,0.1947572851218695,0.053513648550992124
vol_forecast,vol_long,2395,2020-01-01,2026-07-22,1.7509605712216856,0.16674993228180868,0.19779050271943044,0.8780416325479279,0.9454397221499408,-0.3554305783544349,0.5920921418082027,1.259697445098205,0.443645653539791,0.9055649594319661,15.314812955328533,0.38896820101022406,0.015314812955328532,-0.007461864575780425,126163.09981652308,57650.23892899391,0.4918580375782881,145.12734864300626,143.28434237995825,False,,0.19523591396283563,0.04564196748874921
vol_forecast,vol_ewma,2395,2020-01-01,2026-07-22,2.577454596040998,0.21440951072159775,0.20137429340009141,1.0650994930956292,1.1986280280460744,-0.2971725708942239,0.6847658888847945,1.6108833622078567,0.5783052487548797,1.2666430330021656,18.09288146096731,0.441703054491005,0.018092881460967304,0.004426260507521746,200875.4271707374,84833.90354383692,0.49144050104384135,144.89144050104383,143.28434237995825,False,,0.19422343952831442,0.05242748719666891
buffer,buffer_0,2395,2020-01-01,2026-07-22,2.4634213507495986,0.2084287880643243,0.20762256537494667,1.0153176694430233,1.1399548038980774,-0.3139669679895114,0.6418133174926378,1.527742399888122,0.5305773141092365,1.2628202566593223,20.192869044329825,0.44677448955105675,0.020192869044329827,0.0006758693703365478,190286.15403246565,81789.74170738639,0.4881002087682672,148.7670146137787,143.28434237995825,False,,0.20011195854682456,0.004306664127647431
buffer,buffer_0.05,2395,2020-01-01,2026-07-22,2.474174488471556,0.20899982941491868,0.2044121880297569,1.0304100084613204,1.146433067112428,-0.3043286946203251,0.6671688247886411,1.5320030124655315,0.5541531166162785,1.2354132622630978,18.01164525692544,0.43786269344598355,0.018011645256925442,0.000430306741167218,189041.6546283188,81196.48421674082,0.4860125260960334,147.7561586638831,143.28434237995825,False,,0.1983462779418121,0.026674814020965925
buffer,buffer_0.1,2395,2020-01-01,2026-07-22,2.4208230602165988,0.2061517497028693,0.1991373684128463,1.0405665930198096,1.1540303026778966,-0.30129577671601226,0.682845852916539,1.5388579742410073,0.5603616417735964,1.1923270661333967,17.13170532068179,0.41847572718133974,0.01713170532068179,0.00011809141049022634,188731.53662884852,74638.86234102258,0.48768267223382045,145.0204592901879,143.28434237995825,False,,0.1948511855004026,0.047981701557964974
buffer,buffer_0.2,2395,2020-01-01,2026-07-22,2.43973127519537,0.20716541398912902,0.19224026540662223,1.0752850797767208,1.1815172092162374,-0.29523972297373,0.7069462513773385,1.589882899291406,0.5683604915343967,1.1932019416212967,16.12112634376233,0.39616540046012694,0.01612112634376233,-0.0013335500007529185,188847.83259214717,73425.15591644158,0.4881002087682672,84.02254697286013,143.28434237995825,False,,0.19143295347315184,0.07892152482910052
buffer,buffer_0.4,2395,2020-01-01,2026-07-22,2.5538451304545826,0.21318466201061237,0.19206072786488035,1.1020357327796508,1.2044395683185145,-0.2840366360773061,0.7457295414784524,1.598414501221858,0.6115994523536508,1.2051665041610624,15.047247334392768,0.41096699974155937,0.015047247334392765,-0.0011801529070970356,194646.13652738644,78283.83828832037,0.49269311064718163,65.97578288100209,143.28434237995825,False,,0.19190882392176303,0.10123756337573461
cost,cost_0bps,2395,2020-01-01,2026-07-22,2.796027670259063,0.22543499860376204,0.1991052171249581,1.1203983325629356,1.1539984357584439,-0.2754727701218316,0.752103475726768,1.6335636701550935,0.6439435271757541,1.3090985836846385,17.286979245999962,0.41833129699326044,0.0,-0.001093705800979621,195804.01713212603,82378.66367261473,0.48893528183716073,145.0204592901879,143.28434237995825,False,,0.19483981247076362,0.0479209950419306
cost,cost_2bps,2395,2020-01-01,2026-07-22,2.7178373901361397,0.22155417337647076,0.19911088036627458,1.1044344972159605,1.1540048092350816,-0.2794723893227481,0.7382510665681273,1.614629513503174,0.6268780057619963,1.2852588681932429,17.256022303908072,0.4183598514322003,0.0034512044607816145,-0.0008500118723217144,194349.25428675,80777.48989207967,0.48851774530271397,145.0204592901879,143.28434237995825,False,,0.1948420837082821,0.04793281710147048
