n_markets,mean_corr_same_cluster,mean_corr_across_clusters,breadth_same_cluster,breadth_across_clusters,oos_mean_corr_same_cluster,oos_mean_corr_across_clusters,oos_breadth_same_cluster,oos_breadth_across_clusters,breadth_gain,oos_breadth_gain
2,0.252247366127439,0.04518864490789707,1.6159015259316463,1.9234145891473395,0.3184649361163506,0.22718857280418844,1.5362548852450642,1.657450648496997,0.30751306321569327,0.12119576325193293
4,0.3121481290720455,0.039452494319005,2.0860251336990405,3.6024318887263975,0.3005979164337968,0.21228727536366648,2.1665403599056385,2.50574227709438,1.516406755027357,0.3392019171887415
8,0.27727571088233405,0.04166351388718649,2.749608833829354,6.222380623131368,0.36130289051155506,0.21530917716175332,2.3440311634717204,3.227066200093578,3.4727717893020142,0.8830350366218576
16,0.27768493497028257,0.10813001048913481,3.122615646635607,6.173569210480078,0.28659173968484525,0.2636308731464478,3.0643042000247713,3.2684371021938965,3.0509535638444714,0.20413290216912516
